Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
10.1,100,0.1,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.493
11.1,100,0.1,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.497
12.1,100,0.1,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.231
13.1,100,0.3,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.487
14.1,100,0.3,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.416
15.1,100,0.3,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.647
16.1,100,0.5,2,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.495
17.1,100,0.5,3,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.48
18.1,100,0.5,4,1.0,0.1716,0.8284,0.0,0.0749,0.9413,23.691
#############################
