Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
7.5,gini,6,32,100,0.8647,0.0004,0.9996,0.1353,0.0006,0.8911,168.076
8.1,gini,6,32,200,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,255.654
8.2,gini,6,32,200,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,278.191
8.3,gini,6,32,200,0.904,0.0004,0.9996,0.096,0.0005,0.8843,275.022
8.4,gini,6,32,200,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,236.517
8.5,gini,6,32,200,0.904,0.0004,0.9996,0.096,0.0005,0.8843,195.189
9.1,gini,6,64,100,0.8976,0.0004,0.9996,0.1024,0.0005,0.8877,154.329
9.2,gini,6,64,100,0.9174,0.0004,0.9996,0.0826,0.0005,0.8775,183.803
9.3,gini,6,64,100,0.896,0.0004,0.9996,0.104,0.0006,0.8809,263.598
9.4,gini,6,64,100,0.9106,0.0004,0.9996,0.0894,0.0005,0.8809,258.201
9.5,gini,6,64,100,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,184.752
10.1,gini,6,64,200,0.8952,0.0004,0.9996,0.1048,0.0006,0.8775,224.807
10.2,gini,6,64,200,0.8968,0.0004,0.9996,0.1032,0.0006,0.8843,244.872
10.3,gini,6,64,200,0.8976,0.0004,0.9996,0.1024,0.0005,0.8877,259.88
10.4,gini,6,64,200,0.9106,0.0004,0.9996,0.0894,0.0005,0.8809,243.539
10.5,gini,6,64,200,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,250.164
11.1,gini,6,128,100,0.9113,0.0004,0.9996,0.0887,0.0005,0.8843,199.136
11.2,gini,6,128,100,0.92,0.0004,0.9996,0.08,0.0005,0.8911,185.545
11.3,gini,6,128,100,0.9187,0.0004,0.9996,0.0813,0.0005,0.8843,213.346
