Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
27.3,entropy,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.648
27.4,entropy,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.736
27.5,entropy,6,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.647
28.1,entropy,6,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.681
28.2,entropy,6,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.71
28.3,entropy,6,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.791
28.4,entropy,6,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.682
28.5,entropy,6,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.672
29.1,entropy,6,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.197
29.2,entropy,6,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.268
29.3,entropy,6,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.178
29.4,entropy,6,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.187
29.5,entropy,6,128,100,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,5.041
30.1,entropy,6,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.99
30.2,entropy,6,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,6.791
30.3,entropy,6,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.046
30.4,entropy,6,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.133
30.5,entropy,6,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.002
31.1,entropy,7,32,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,4.759
31.2,entropy,7,32,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,4.821
31.3,entropy,7,32,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,4.684
31.4,entropy,7,32,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,4.835
31.5,entropy,7,32,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,4.753
32.1,entropy,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.937
32.2,entropy,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.854
32.3,entropy,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.668
32.4,entropy,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.714
32.5,entropy,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.79
33.1,entropy,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.051
33.2,entropy,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.922
33.3,entropy,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.972
33.4,entropy,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.013
33.5,entropy,7,64,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,4.92
34.1,entropy,7,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.305
34.2,entropy,7,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.24
34.3,entropy,7,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.386
34.4,entropy,7,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.321
34.5,entropy,7,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,6.302
35.1,entropy,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.626
35.2,entropy,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.687
35.3,entropy,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.447
35.4,entropy,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.598
35.5,entropy,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,5.485
36.1,entropy,7,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.601
36.2,entropy,7,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.916
36.3,entropy,7,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.886
36.4,entropy,7,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.687
36.5,entropy,7,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,7.958
#############################
Gradient_Boosted_Tree: 12 different tests
Iteration,Max_Depth,Max_Bins,Num_Iterations,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,3,32,50,0.9174,0.1135,0.8865,0.0826,0.0992,0.9,21.038
1.2,3,32,50,0.9174,0.1135,0.8865,0.0826,0.0992,0.9,21.458
1.3,3,32,50,0.9174,0.1135,0.8865,0.0826,0.0992,0.9,21.637
1.4,3,32,50,0.9174,0.1135,0.8865,0.0826,0.0992,0.9,21.405
1.5,3,32,50,0.9174,0.1135,0.8865,0.0826,0.0992,0.9,21.55
2.1,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,49.751
2.2,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,49.673
2.3,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,49.478
2.4,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,49.489
2.5,3,32,100,0.9106,0.1079,0.8921,0.0894,0.0992,0.9002,49.532
3.1,3,64,50,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,22.308
3.2,3,64,50,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,22.221
3.3,3,64,50,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,22.412
3.4,3,64,50,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,22.305
3.5,3,64,50,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,22.421
4.1,3,64,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,51.423
4.2,3,64,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,51.599
4.3,3,64,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,51.646
4.4,3,64,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,51.548
4.5,3,64,100,0.9576,0.0972,0.9028,0.0424,0.0725,0.9264,51.724
5.1,3,128,50,0.9412,0.1049,0.8951,0.0588,0.084,0.915,24.176
